Title,Genre
1917,War
"21 Bridges",Action
"47 Meters Down: Uncaged","Horror, Thriller"
"A Beautiful Day in the Neighborhood","Biography, Drama"
"A Dog's Journey","Fantasy, Drama"
"A Dog's Way Home","Drama, Family"
"A Shaun the Sheep Movie: Farmageddon","Animation, Sci-Fi, Comedy, Family"
Abominable,"Animation, Fantasy, Adventure, Comedy"
"Ad Astra","Sci-Fi, Drama, Thriller"
After,Drama
Aladdin,"Musical, Fantasy, Romance, Adventure"
"Alita: Battle Angel","Sci-Fi, Action, Adventure, Romance"
"Angel Has Fallen","Action, Thriller"
"Annabelle Comes Home","Horror, Thriller"
"Artemis Fowl","Adventure, Fantasy, Sci-Fi"
"Avengers: Endgame","Superhero, Epic, Action, Adventure"
"Bad Trip","Comedy, Drama"
"Black and Blue","Action, Thriller"
"Blinded by the Light",Drama
Booksmart,Comedy
Breakthrough,"Faith, Drama"
Brightburn,"Horror, Superhero, Sci-Fi"
"Call of the Wild","Live-Action Animation, Adventure, Drama"
"Captain Marvel","Superhero, Action, Adventure, Sci-Fi"
"Captive State","Sci-Fi, Thriller, Action"
Cats,Musical
Changeland,"Comedy, Drama"
"Charlie's Angels","Action, Comedy"
"Child's Play",Horror
"Cold Pursuit","Action, Thriller"
Crawl,"Horror, Thriller"
"Dark Phoenix","Superhero, Action, Adventure"
"Doctor Sleep","Horror, Thriller"
Domino,"Crime, Thriller"
"Dora and the Lost City of Gold","Adventure, Comedy"
"Downton Abbey",Drama
Dumbo,"Fantasy, Family, Adventure, Drama"
"Escape Room","Drama, Horror, Thriller, Mystery"
"Extremely Wicked, Shockingly Evil, and Vile","Biography, Crime, Thriller, Drama"
"Fair and Balanced",Drama
"Fast & Furious Presents: Hobbs & Shaw","Action, Adventure"
"Fighting with My Family","Comedy, Drama"
"Five Feet Apart","Romance, Drama"
"Ford v. Ferrari","Biography, Action, Drama"
"Frozen 2","Animation, Fantasy, Musical"
"Gemini Man","Sci-Fi, Action, Thriller"
Glass,"Superhero, Horror, Thriller"
"Godzilla: King of the Monsters","Action, Adventure, Sci-Fi"
"Good Boys",Comedy
Greta,"Horror, Drama, Thriller"
"Happy Death Day 2U","Horror, Comedy"
Hellboy,"Superhero, Horror, Fantasy"
"How to Train Your Dragon: The Hidden World","Animation, Fantasy, Action, Adventure"
Hustlers,Drama
"Isn't It Romantic","Romance, Comedy, Fantasy"
"It: Chapter Two","Horror, Thriller"
"John Wick: Chapter 3 Parabellum","Action, Thriller"
Joker,"Superhero, Crime, Thriller, Horror"
"Knives Out","Mystery, Crime, Thriller"
"Last Christmas","Holiday, Comedy"
"Late Night","Comedy, Drama"
Little,"Comedy, Fantasy"
"Little Women","Drama, Romance"
"Long Shot",Comedy
Ma,"Horror, Thriller"
"Maleficent: Mistress of Evil","Fantasy, Adventure"
"Men in Black: International","Sci-Fi, Comedy, Action, Adventure"
Midsommar,"Horror, Thriller"
Midway,"War, Drama"
"Miss Bala","Crime, Drama"
"Missing Link","Animation, Adventure, Comedy"
"Motherless Brooklyn","Crime, Drama"
"Nancy Drew and the Hidden Staircase","Mystery, Comedy, Drama"
"Official Secrets","Drama, Thriller"
"Once Upon a Time in Hollywood","Crime, Mystery, Drama, Comedy, Thriller"
Overcomer,"Faith, Drama"
Penguins,Documentary
"Pet Sematary",Horror
"Playmobil: The Movie","Animation, Fantasy, Adventure, Comedy"
"Pok?mon: Detective Pikachu","Sci-Fi, Fantasy, Action, Mystery, Comedy"
Poms,Comedy
"Queen & Slim","Drama, Thriller"
"Rambo V: Last Blood","Action, Thriller"
Replicas,"Sci-Fi, Thriller"
Rocketman,"Biography, Drama, Musical"
"Scary Stories to Tell in the Dark",Horror
Serenity,"Drama, Thriller"
Shaft,"Action, Comedy"
Shazam!,"Superhero, Action, Adventure, Comedy"
"Sonic the Hedgehog","Live-Action Animation, Action, Sci-Fi, Comedy"
"Spider-Man: Far From Home","Superhero, Action, Adventure, Comedy, Sci-Fi"
"Spies in Disguise","Animation, Action, Comedy"
"Star Wars: The Rise of Skywalker","Action, Adventure, Fantasy, Sci-Fi"
Stuber,"Action, Comedy"
"Super Intelligence","Comedy, Sci-Fi, Action"
"Terminator: Dark Fate","Sci-Fi, Action"
"The Addams Family","Animation, Family, Comedy, Horror"
"The Aftermath",Drama
"The Angry Birds Movie 2","Animation, Comedy"
"The Art of Racing in the Rain",Comedy
"The Beach Bum",Comedy
"The Best of Enemies",Drama
"The Curse of La Llorona","Horror, Thriller"
"The Dead Don't Die","Comedy, Horror"
"The Dirt","Biopic, Drama"
"The Goldfinch","Drama, Thriller, Adventure"
"The Good Liar",Drama
"The Highwaymen",Crime
"The Hunt","Action, Thriller"
"The Hustle",Comedy
"The Informer","Action, Thriller"
"The Intruder",Thriller
"The Kid","Western, Action, Thriller, Drama"
"The Kid Who Would Be King","Fantasy, Adventure, Family"
"The Kitchen","Crime, Drama, Thriller"
"The Last Full Measure","Drama, War"
"The Lego Movie 2: The Second Part","Animation, Adventure, Comedy"
"The Lion King","Musical, Drama, Epic"
"The New Mutants","Superhero, Horror, Thriller, Sci-Fi"
"The Prodigy","Horror, Thriller"
"The Professor and the Madman",Drama
"The Rhythm Section","Action, Mystery, Thriller"
"The Secret Life of Pets 2","Animation, Comedy, Adventure"
"The Sun Is Also a Star","Drama, Romance"
"The Tomorrow Man",Drama
"The Upside","Comedy, Drama"
"The Woman in the Window","Thriller, Drama"
Tolkien,"Biography, Drama"
Torrance,Drama
"Toy Story 4","Animation, Family, Adventure"
"Triple Frontier","Action, Crime, Thriller"
"Tyler Perry's A Madea Family Funeral",Comedy
UglyDolls,"Animation, Comedy"
"Under the Silver Lake","Mystery, Thriller, Drama"
Unplanned,"Drama, Faith"
"Untitled third Jumanji film","Action, Fantasy, Adventure, Comedy"
Us,"Horror, Thriller"
"Velvet Buzzsaw","Horror, Thriller"
"What Men Want",Comedy
"Where'd You Go, Bernadette","Mystery, Drama, Comedy"
"Wish Dragon","Animation, Family, Comedy"
"Wonder Park","Animation, Adventure, Fantasy, Family"
Yesterday,"Musical, Comedy, Drama"
"Zombieland: Double Tap","Comedy, Horror, Action"
